goal	rule	score
p4(X3, X0)	p4(a0, a15)	1
p1(X0, X1)	p1(a24, a92)	1
p6(X9, X0)	p6(a1, a13)	1
p4(a27, X0)	p4(X1, X1) :- p7(X1)	1
p0(X5)	p0(a0)	1
p4(X6, X4)	p4(a59, a17)	1
p4(X9, X0)	p4(a71, a19)	1
p1(X2, X0)	p1(a54, a84)	1
p4(X0, X5)	p4(a51, a18)	1
p3(X9, X3, X0, X1, X2)	p3(a36, a0, a49, a23, a46)	1
p6(X9, X0)	p6(a90, a27)	1
p4(X6, X4)	p4(a63, a73)	1
p7(X5)	p7(a57)	1
p7(X1)	p7(a34)	1
p3(X9, X4, X0, X1, X2)	p3(a18, a55, a15, a26, a88)	1
p0(X0)	p0(a97)	1
p7(X6)	p7(a27)	1
p4(X0, X6)	p4(a37, a99)	1
p0(X3)	p0(a81)	1
p1(X1, X0)	p1(a0, a72)	1
p2(X9, X8)	p2(a13, a0)	1
p6(X5, X0)	p6(a14, a20)	1
p3(X9, X4, X0, X1, X2)	p3(a78, a58, a24, a1, a79)	1
p3(X9, X3, X0, X1, X2)	p3(a82, a82, a54, a10, a20)	1
p0(X3)	p0(a87)	1
p1(X4, X0)	p1(a3, a28)	1
p4(X6, X0)	p4(a48, a25)	1
p4(X0, a0)	p4(a10, a0)	1
p4(X3, X0)	p4(a12, a14)	1
p5(X0, X1)	p5(a11, a13)	1
p4(X0, a24)	p4(X1, X1) :- p7(X1)	1
p0(X0)	p0(a10)	1
p7(X3)	p7(a59)	1
p9(a34)	p9(a34)	1
p9(X0)	p9(a48)	1
p9(X7)	p9(a34)	1
p6(X0, X1)	p6(a2, a14)	1
p4(X0, a3)	p4(X1, X1) :- p7(X1)	1
p6(X0, X1)	p6(a94, a80)	1
p5(X0, X4)	p5(a0, a0)	1
p0(X5)	p0(a42)	1
p7(X9)	p7(a51)	1
p1(X0, X1)	p1(a54, a84)	1
p6(X5, X0)	p6(a23, a4)	1
p6(X5, X0)	p6(a35, a84)	1
p4(X1, X0)	p4(a2, a28)	1
p3(X3, X2, X0, X1, X4)	p3(a49, a47, a49, a74, a14)	1
p0(a92)	p0(a92)	1
p4(X5, X4)	p4(a75, a12)	1
p7(X9)	p7(a27)	1
p4(X0, X1)	p4(a14, a4)	1
p4(X6, X0)	p4(a44, a38)	1
p9(X6)	p9(a16)	1
p4(X9, X0)	p4(a48, a25)	1
p1(X0, X1)	p1(a73, a12)	1
p0(X4)	p0(a9)	1
p9(X6)	p9(a7)	1
p3(X9, X4, X0, X1, X2)	p3(a13, a38, a10, a1, a17)	1
p1(X1, X0)	p1(a0, a58)	1
p1(X9, X0)	p1(a3, a28)	1
p1(a2, X0)	p1(a2, a36)	1
p1(X9, X0)	p1(a33, a15)	1
p6(a23, X0)	p6(a23, a4)	1
p9(X7)	p9(a14)	1
p3(X4, X6, X0, X1, X2)	p3(a18, a55, a15, a26, a88)	1
p1(X1, X0)	p1(a13, a0)	1
p3(X5, X1, X0, X2, X3)	p3(a0, a69, a68, a69, a31)	1
p7(X1)	p7(a90)	1
p6(X4, X0)	p6(a19, a1)	1
p3(X9, X4, X0, X1, X2)	p3(a29, a35, a60, a0, a21)	1
p4(X2, X5)	p4(a23, a86)	1
p9(X6)	p9(a42)	1
p1(X8, X4)	p1(a0, a98)	1
p4(X0, X1)	p4(a49, a3)	1
p4(a48, X0)	p4(a48, a25)	1
p3(X0, X1, X2, X3, X4)	p3(a41, a68, a85, a34, a12)	1
p0(X3)	p0(a82)	1
p3(X4, X6, X0, X1, X2)	p3(a10, a1, a57, a58, a61)	1
p6(a12, X0)	p6(a12, a3)	1
p9(X1)	p9(a52)	1
p6(X6, X0)	p6(a0, a60)	1
p9(X8)	p9(a50)	1
p4(X5, X0)	p4(a12, a14)	1
p6(X6, X0)	p6(a14, a43)	1
p2(X9, X8)	p2(a14, a31)	1
p1(a42, X0)	p1(a42, a14)	1
p4(X6, X0)	p4(a2, a28)	1
p9(X5)	p9(a18)	1
p6(X5, X0)	p6(a2, a18)	1
p7(X3)	p7(a78)	1
p4(X0, X6)	p4(a23, a86)	1
p4(X3, X0)	p4(a0, a3)	1
p0(X5)	p0(a81)	1
p0(X9)	p0(a30)	1
p4(X2, X5)	p4(a62, X2) :- p6(X2, X3)	1
p3(X9, X3, X0, X1, X2)	p3(a19, a1, a13, a10, a98)	1
p5(X0, X1)	p5(a58, a29)	1
p0(X5)	p0(a87)	1
p0(X9)	p0(a62)	1
p4(a59, X0)	p4(a59, a17)	1
p4(X3, X0)	p4(a23, a12)	1
p6(X4, X0)	p6(a27, a12)	1
p9(X7)	p9(a19)	1
p1(X8, X4)	p1(a77, a94)	1
p9(X6)	p9(a19)	1
p6(X9, X0)	p6(a55, a14)	1
p0(X4)	p0(a53)	1
p4(a13, X0)	p4(X1, X1) :- p7(X1)	1
p1(X5, X0)	p1(a15, a23)	1
p4(X6, X0)	p4(a59, a17)	1
p9(X8)	p9(a77)	1
p4(X0, a61)	p4(X1, X1) :- p7(X1)	1
p1(X1, X0)	p1(a15, a23)	1
p4(X2, X0)	p4(a14, a4)	1
p9(X6)	p9(a11)	1
p6(X1, X0)	p6(a11, a36)	1
p3(a47, a1, a0, X0, a65)	p3(a47, a1, a0, a97, a65)	1
p3(X3, X2, X0, X1, X4)	p3(a73, a16, a14, a35, a99)	1
p4(X9, X0)	p4(a55, a0)	1
p4(X6, X4)	p4(a96, a27)	1
p1(X3, X0)	p1(a42, a53)	1
p4(X2, X0)	p4(a59, a17)	1
p4(X0, X5)	p4(a29, a33)	1
p1(X4, X0)	p1(a6, a5)	1
p3(X0, X1, X2, X3, X4)	p3(a56, a14, a62, a47, a71)	1
p5(X1, X0)	p5(a12, a0)	1
p9(X7)	p9(a58)	1
p1(X4, X0)	p1(a7, a11)	1
p1(X1, X0)	p1(a16, a64)	1
p6(X0, X1)	p6(a14, a0)	1
p4(a10, X0)	p4(a10, a0)	1
p6(X0, X1)	p6(a20, a28)	1
p7(X4)	p7(a98)	1
p1(X4, X0)	p1(a78, a1)	1
p4(X6, X4)	p4(a43, a0)	1
p1(X8, X4)	p1(a50, a13)	1
p1(X2, X0)	p1(a46, a92)	1
p4(X6, X6)	p4(X1, X1) :- p7(X1)	1
p3(X9, X4, X0, X1, X2)	p3(a0, a10, a96, a27, a95)	1
p1(X8, X4)	p1(a40, a22)	1
p0(X1)	p0(a54)	1
p0(X3)	p0(X2) :- p5(a10, X2)	1
p6(X6, X0)	p6(a77, a12)	1
p9(X5)	p9(a7)	1
p1(X3, X0)	p1(a51, a10)	1
p7(X0)	p7(a56)	1
p1(X4, X0)	p1(a40, a22)	1
p1(X0, X1)	p1(a55, a43)	1
p5(X0, X1)	p5(a48, a49)	1
p2(X0, X6)	p2(a78, a62)	1
p1(X2, X0)	p1(a0, a98)	1
p0(X5)	p0(a82)	1
p4(X6, X0)	p4(a43, a0)	1
p6(X9, X0)	p6(a10, a13)	1
p5(X0, X5)	p5(a86, a41)	1
p0(X3)	p0(a23)	1
p6(a51, X0)	p6(a51, a11)	1
p7(X0)	p7(a30)	1
p3(X4, X6, X0, X1, X2)	p3(a0, a96, a38, a49, a62)	1
p3(X9, X3, X0, X1, X2)	p3(a57, a65, a13, a20, a10)	1
p9(X1)	p9(a14)	1
p7(X2)	p7(a87)	1
p8(a34, X0, X1, X2)	p8(a34, a10, a75, a10)	1
p5(X0, a10)	p5(a55, a10)	1
p4(a52, X0)	p4(a52, a0)	1
p6(X4, X0)	p6(a43, a83)	1
p3(X0, X1, X2, X3, X4)	p3(a47, a84, a42, a94, a73)	1
p3(X9, X4, X0, X1, X2)	p3(a24, a9, a19, a63, a61)	1
p3(a0, X0, X1, X2, X3)	p3(a0, a1, a5, a37, a0)	1
p3(X9, X3, X0, X1, X2)	p3(a55, a17, a28, a4, a60)	1
p4(X2, X0)	p4(a43, a0)	1
p2(X4, X1)	p2(a8, a0)	1
p1(X4, X0)	p1(a26, a70)	1
p1(a80, X0)	p1(a80, a10)	1
p0(X9)	p0(a9)	1
p9(X0)	p9(a68)	1
p6(X4, X0)	p6(a38, a43)	1
p9(X8)	p9(a30)	1
p0(X2)	p0(a5)	1
p4(X3, X0)	p4(a19, a16)	1
p2(X0, a15)	p2(a31, a15)	1
p3(X0, a28, X1, a12, X2)	p3(a21, a28, a43, a12, a35)	1
p7(a51)	p7(a51)	1
p9(X6)	p9(a22)	1
p6(X4, X0)	p6(a22, a17)	1
p0(X0)	p0(a0)	1
p3(a85, X5, X0, X1, X2)	p3(a85, a15, a12, a3, a25)	1
p2(X4, X1)	p2(a46, a33)	1
p0(X1)	p0(a70)	1
p0(X1)	p0(a77)	1
p4(X3, X0)	p4(a26, a0)	1
p3(X0, X1, X2, X3, X4)	p3(a0, a78, a27, a10, a29)	1
p4(X3, X0)	p4(a88, a15)	1
p4(X0, X6)	p4(a0, a15)	1
p4(X3, X0)	p4(a2, a48)	1
p3(a57, X1, X0, X2, X3)	p3(a57, a69, a59, a0, a54)	1
p5(X0, X4)	p5(a27, a0)	1
p2(X4, X1)	p2(a9, a0)	1
p9(X8)	p9(a18)	1
p7(X9)	p7(a29)	1
p1(X2, X0)	p1(a55, a43)	1
p2(X0, X1)	p2(a0, a21)	1
p1(X0, X1)	p1(a51, a10)	1
p1(X2, X0)	p1(a24, a10)	1
p4(X0, X1)	p4(a2, a28)	1
p4(X6, X0)	p4(a92, a53)	1
p5(X1, X0)	p5(a21, a36)	1
p0(X6)	p0(a52)	1
p8(a34, X0, X2, X1)	p8(a34, a10, a75, a10)	1
p3(X5, X6, X0, X1, X2)	p3(a19, a1, a13, a10, a98)	1
p1(X1, X0)	p1(a29, a34)	1
p6(X0, X1)	p6(a2, a39)	1
p1(X1, X0)	p1(a39, a16)	1
p3(a95, a18, X0, X1, a17)	p3(a95, a18, a36, a89, a17)	1
p0(X0)	p0(a42)	1
p7(a34)	p7(X5) :- p0(X5), p7(X5)	1
p5(X0, a13)	p5(a11, a13)	1
p1(X5, X0)	p1(a57, a0)	1
p4(X2, X5)	p4(a32, a11)	1
p0(X9)	p0(a53)	1
p3(X4, X6, X0, X1, X2)	p3(a18, a4, a22, a1, a93)	1
p3(a10, X7, X0, X1, X2)	p3(a10, a1, a57, a58, a61)	1
p3(X5, X1, X0, X2, X3)	p3(a99, a0, a21, a0, a61)	1
p9(X8)	p9(a38)	1
p7(X0)	p7(a27)	1
p4(X0, X4)	p4(a63, a73)	1
p4(X5, X0)	p4(a10, a0)	1
p6(X4, X0)	p6(a13, a17)	1
p2(X0, X1)	p2(a0, a53)	1
p7(X6)	p7(a0)	1
p4(X0, X4)	p4(a12, a30)	1
p4(X0, X5)	p4(a10, a90)	1
p2(X0, X6)	p2(a31, a47)	1
p1(X4, X7)	p1(a16, a2)	1
p9(X1)	p9(a50)	1
p3(X5, X1, X0, X2, X3)	p3(a57, a69, a59, a0, a54)	1
p5(a10, X9)	p5(a10, a1)	1
p8(X3, X2, X2, X2)	p8(X3, X1, X1, X1) :- p3(X3, X1, X0, X7, X4)	1
p4(a78, a78)	p4(X1, X1) :- p7(X1)	1
p9(X6)	p9(a2)	1
p0(X0)	p0(a91)	1
p4(X0, X6)	p4(a32, a11)	1
p4(X2, X0)	p4(a96, a27)	1
p6(X1, X0)	p6(a0, a27)	1
p2(X4, X1)	p2(a0, a58)	1
p4(X5, X0)	p4(a23, a12)	1
p1(X5, X0)	p1(a0, a15)	1
p7(X1)	p7(a4)	1
p4(X9, X0)	p4(a44, a38)	1
p1(X2, X0)	p1(a51, a10)	1
p7(a3)	p7(X5) :- p0(X5), p7(X5)	1
p9(X8)	p9(a16)	1
p4(a0, X0)	p4(X1, X1) :- p7(X1)	1
p3(X0, a9, a19, a63, a61)	p3(a24, a9, a19, a63, a61)	1
p1(X1, X0)	p1(a0, a15)	1
p4(a90, a90)	p4(X1, X1) :- p7(X1)	1
p4(X5, X4)	p4(X1, X1) :- p7(X1)	1
p1(X9, X0)	p1(a6, a5)	1
p3(X9, X3, X0, X1, X2)	p3(a58, a56, a27, a45, a0)	1
p1(X9, X0)	p1(a7, a11)	1
p9(X1)	p9(a77)	1
p7(X5)	p7(a22)	1
p5(X0, X4)	p5(a40, a58)	1
p4(X6, X8)	p4(a55, a0)	1
p4(X1, X0)	p4(a30, a13)	1
p3(a57, X1, X0, X2, X3)	p3(a57, a0, a10, a10, a8)	1
p2(X0, X1)	p2(a0, a58)	1
p1(a94, X0)	p1(a94, a14)	1
p9(X1)	p9(a43)	1
p4(X2, X0)	p4(a2, a28)	1
p7(X5)	p7(a83)	1
p4(X6, X8)	p4(a14, a4)	1
p1(X8, X4)	p1(a56, a14)	1
p0(X0)	p0(a87)	1
p4(a53, a53)	p4(X1, X1) :- p7(X1)	1
p4(X0, X1)	p4(a43, a0)	1
p3(X5, X6, X0, X1, X2)	p3(a57, a65, a13, a20, a10)	1
p5(X0, X5)	p5(a29, a21)	1
p1(X4, X0)	p1(a73, a12)	1
p3(a58, X2, X0, X1, X3)	p3(a58, a56, a27, a45, a0)	1
p4(X5, X4)	p4(a62, X2) :- p6(X2, X3)	1
p9(X7)	p9(a46)	1
p3(X5, X6, X0, X1, X2)	p3(a55, a17, a28, a4, a60)	1
p0(a82)	p0(a82)	1
p2(X9, X8)	p2(a14, a80)	1
p2(X0, X1)	p2(a46, a33)	1
p7(X3)	p7(a30)	1
p0(X9)	p0(a31)	1
p9(X5)	p9(a34)	1
p1(X5, X0)	p1(a16, a64)	1
p0(a22)	p0(a22)	1
p7(a12)	p7(a12)	1
p1(X8, X4)	p1(a36, a17)	1
p4(a8, X0)	p4(X1, X1) :- p7(X1)	1
p2(X0, X1)	p2(a78, a62)	1
p1(X9, X0)	p1(a26, a70)	1
p4(X3, X0)	p4(a9, a49)	1
p3(a0, X9, X0, X1, X2)	p3(a0, a1, a5, a37, a0)	1
p9(X7)	p9(a50)	1
p2(X0, X1)	p2(a9, a0)	1
p2(X0, X6)	p2(a30, a23)	1
p7(X1)	p7(a54)	1
p6(X4, X0)	p6(a23, a4)	1
p7(X0)	p7(a51)	1
p1(X8, X4)	p1(a42, a53)	1
p3(X5, X1, X0, X2, X3)	p3(a10, a1, a57, a58, a61)	1
p1(X5, X0)	p1(a0, a58)	1
p4(X6, X8)	p4(a71, a19)	1
p5(X1, X0)	p5(a20, a67)	1
p0(a62)	p0(a62)	1
p6(X6, X0)	p6(a27, a12)	1
p3(X0, X1, X2, X3, X4)	p3(a1, a18, a0, a38, a99)	1
p4(X9, X0)	p4(a12, a30)	1
p6(X0, X1)	p6(a68, a6)	1
p5(X0, X1)	p5(a24, a0)	1
p9(X0)	p9(a45)	1
p2(a36, X7)	p2(X6, a49) :- p7(X6)	1
p4(X0, X4)	p4(a92, a53)	1
p4(X6, X4)	p4(a34, a82)	1
p2(X9, X8)	p2(a5, a93)	1
p6(X9, X0)	p6(a80, a3)	1
p4(X6, X4)	p4(a75, a12)	1
p7(X2)	p7(a82)	1
p0(X0)	p0(a82)	1
p0(X4)	p0(a28)	1
p0(X5)	p0(a27)	1
p1(X4, X0)	p1(a0, a98)	1
p8(X1, X0, a95, a72)	p8(a10, a21, a95, a72)	1
p6(X0, X1)	p6(a12, a15)	1
p2(a78, a49)	p2(X6, a49) :- p7(X6)	1
p3(X9, X3, X0, X1, X2)	p3(a91, a10, a6, a29, a75) :- p9(X1)	1
p6(X4, X0)	p6(a2, a18)	1
p4(X0, X1)	p4(a96, a27)	1
p9(X8)	p9(a84)	1
p6(a50, X0)	p6(a50, a0)	1
p3(X9, X3, X0, X1, X2)	p3(a10, a1, a57, a58, a61)	1
p4(X5, X4)	p4(a0, a15)	1
p4(X0, X4)	p4(a43, a0)	1
p6(a43, X0)	p6(a43, a83)	1
p5(X0, a27)	p5(a94, a27)	1
p5(a30, X8)	p5(X2, a26) :- p7(X2), p0(X2)	1
p2(a36, X7)	p2(a36, a48)	1
p4(X6, X8)	p4(a48, a25)	1
p1(X1, X0)	p1(a63, a86)	1
p7(X6)	p7(a36)	1
p3(X0, X1, X2, X3, X4)	p3(a46, a17, a47, a94, a16)	1
p5(X1, X0)	p5(a0, a15)	1
p3(X3, X2, X0, X1, X4)	p3(a1, a62, a2, a0, a10)	1
p6(X1, X0)	p6(a10, a12)	1
p0(X4)	p0(a16)	1
p5(a10, X0)	p5(a10, a1)	1
p7(X3)	p7(a56)	1
p4(X6, X8)	p4(a12, a30)	1
p4(X3, X0)	p4(a32, a0)	1
p0(a52)	p0(a52)	1
p4(X1, X0)	p4(a19, a16)	1
p4(X0, X6)	p4(a23, a12)	1
p6(X9, X0)	p6(a65, a45)	1
p9(X8)	p9(a22)	1
p3(a0, X0, a68, X0, a31)	p3(a0, a69, a68, a69, a31)	1
p1(X4, X0)	p1(a55, a43)	1
p6(X6, X0)	p6(a43, a83)	1
p4(X5, X4)	p4(a12, a14)	1
p3(X9, X3, X0, X1, X2)	p3(a89, a62, a85, a2, a94)	1
p3(X3, X2, X0, X1, X4)	p3(a74, a97, a39, a52, a73)	1
p4(X0, a87)	p4(X1, X1) :- p7(X1)	1
p3(X9, X3, X0, X1, X2)	p3(a41, a12, a30, a84, a76)	1
p1(X4, X0)	p1(a24, a10)	1
p4(X0, a12)	p4(a75, a12)	1
p6(X6, X0)	p6(a11, a33)	1
p1(X9, X0)	p1(a55, a33)	1
p6(a90, X0)	p6(a90, a27)	1
p4(X0, a99)	p4(a17, a99)	1
p6(X6, X0)	p6(a38, a43)	1
p3(a0, X0, X1, X2, X3)	p3(a0, a40, a23, a29, a48)	1
p4(X6, X8)	p4(a44, a38)	1
p6(X6, X0)	p6(a22, a17)	1
p4(X0, a16)	p4(a19, a16)	1
p6(X9, X0)	p6(a2, a39)	1
p0(X1)	p0(a11)	1
p1(a0, X0)	p1(a0, a66)	1
p5(X0, a0)	p5(a0, a0)	1
p7(X3)	p7(a48)	1
p7(X5)	p7(a87)	1
p6(a33, X0)	p6(a33, a14)	1
p4(X5, X4)	p4(a32, a11)	1
p4(X9, X0)	p4(a92, a53)	1
p1(X4, X7)	p1(a73, a12)	1
p6(X1, X0)	p6(a12, a3)	1
p7(X1)	p7(a78)	1
p2(X4, X1)	p2(a13, a39)	1
p0(X0)	p0(a70)	1
p0(X0)	p0(a77)	1
p5(X0, X4)	p5(a86, a41)	1
p3(X4, X6, X0, X1, X2)	p3(a3, a91, a71, a0, a95)	1
p1(X4, X0)	p1(a51, a10)	1
p5(X1, X0)	p5(a22, a20)	1
p4(X6, X0)	p4(a29, a33)	1
p1(X3, X0)	p1(a42, a14)	1
p5(X0, X1)	p5(a36, a50)	1
p6(X1, X0)	p6(a55, a14)	1
p5(X0, X1)	p5(a32, a3)	1
p7(a57)	p7(a57)	1
p6(X9, X0)	p6(a19, a11)	1
p6(X1, X0)	p6(a60, a64)	1
p4(X6, X0)	p4(a75, a12)	1
p4(X0, X5)	p4(a0, a15)	1
p6(X9, X0)	p6(a33, a14)	1
p3(X9, X3, X0, X1, X2)	p3(a13, a0, a0, a66, a35)	1
p3(X9, X4, X0, X1, X2)	p3(a49, a47, a49, a74, a14)	1
p9(a43)	p9(a43)	1
p1(X9, X0)	p1(a50, a13)	1
p8(a34, X0, X1, X4)	p8(a34, a10, a75, a10)	1
p6(X6, X0)	p6(a13, a17)	1
p1(X9, X0)	p1(a42, a53)	1
p6(X4, X0)	p6(a14, a20)	1
p7(X3)	p7(a27)	1
p7(X6)	p7(a65)	1
p4(X2, X5)	p4(a2, a48)	1
p1(X8, X4)	p1(a84, a0)	1
p3(X9, X4, X0, X1, X2)	p3(a99, a0, a21, a0, a61)	1
p1(X5, X0)	p1(a63, a86)	1
p4(a0, X0)	p4(a0, a3)	1
p4(X2, X0)	p4(a34, a82)	1
p1(a50, X0)	p1(a50, a13)	1
p0(X9)	p0(a28)	1
p9(X5)	p9(a19)	1
p3(X3, X2, X0, X1, X4)	p3(a11, a1, a26, a74, a62)	1
p1(X9, X0)	p1(a40, a22)	1
p7(X4)	p7(a54)	1
p2(X0, X1)	p2(a30, a23)	1
p5(X5, X5)	p5(a0, a0)	1
p0(X1)	p0(a0)	1
p2(X0, X6)	p2(a14, a31)	1
p0(X4)	p0(a73)	1
p1(X0, X1)	p1(a0, a0)	1
p1(X0, X1)	p1(a9, a12)	1
p0(X5)	p0(a11)	1
p6(X1, X0)	p6(a15, a11)	1
p4(X0, X4)	p4(a88, a15)	1
p4(X3, X0)	p4(a52, a0)	1
p4(a34, X0)	p4(X1, X1) :- p7(X1)	1
p8(X1, X0, X2, a39)	p8(a17, a0, a93, a39)	1
p3(X0, X1, X2, X3, X4)	p3(a36, a0, a49, a23, a46)	1
p0(X6)	p0(a38)	1
p8(a89, a0, a15, X0)	p8(a89, a0, a15, a16)	1
p1(X9, X0)	p1(a0, a98)	1
p0(X1)	p0(a10)	1
p1(X5, X0)	p1(a29, a34)	1
p4(X0, X1)	p4(a75, a12)	1
p4(X2, X5)	p4(a9, a49)	1
p2(X4, X1)	p2(a15, a52)	1
p4(X0, a15)	p4(a62, X2) :- p6(X2, X3)	1
p0(X4)	p0(a22)	1
p4(X6, X0)	p4(a51, a18)	1
p6(X5, X0)	p6(a12, a3)	1
p1(X5, X0)	p1(a81, a37)	1
p3(X5, X6, X0, X1, X2)	p3(a13, a7, a1, a37, a14)	1
p1(X4, X7)	p1(a48, a60)	1
p5(X0, X1)	p5(a21, a1)	1
p3(X3, X2, X0, X1, X4)	p3(a1, a18, a0, a38, a99)	1
p5(X0, X4)	p5(a64, a32)	1
p9(X7)	p9(a30)	1
p9(X6)	p9(a30)	1
p2(X0, X6)	p2(a14, a80)	1
p1(X3, X0)	p1(a0, a66)	1
p2(X0, X6)	p2(a0, a10)	1
p7(X1)	p7(a74)	1
p4(X2, X0)	p4(a51, a18)	1
p0(X5)	p0(a15)	1
p6(X9, X0)	p6(a68, a6)	1
p6(X5, X0)	p6(a55, a14)	1
p3(X5, X6, X0, X1, X2)	p3(a89, a62, a85, a2, a94)	1
p3(X4, X6, X0, X1, X2)	p3(a99, a0, a21, a0, a61)	1
p6(X5, X0)	p6(a60, a64)	1
p3(X9, X3, X0, X1, X2)	p3(a18, a4, a22, a1, a93)	1
p3(X5, X6, X0, X1, X2)	p3(a41, a12, a30, a84, a76)	1
p7(X4)	p7(X5) :- p0(X5), p7(X5)	1
p3(X4, X6, X0, X1, X2)	p3(a57, a69, a59, a0, a54)	1
p3(X9, X3, X0, X1, X2)	p3(a18, a55, a15, a26, a88)	1
p0(X3)	p0(a40)	1
p1(X1, X0)	p1(a7, a11)	1
p0(X1)	p0(a91)	1
p0(X9)	p0(a54)	1
p7(X2)	p7(a90)	1
p6(X9, X0)	p6(a12, a15)	1
p3(X9, X3, X0, X1, X2)	p3(a78, a58, a24, a1, a79)	1
p1(a33, X0)	p1(a33, a15)	1
p9(a2)	p9(a2)	1
p4(X5, X0)	p4(a52, a0)	1
p0(X4)	p0(a13)	1
p2(X9, X8)	p2(a53, a72)	1
p4(a0, X0)	p4(a0, a15)	1
p9(X6)	p9(a48)	1
p9(X0)	p9(a40)	1
p6(X6, X0)	p6(a23, a4)	1
p0(X5)	p0(a95)	1
p6(X0, X1)	p6(a39, a41)	1
p2(X9, X8)	p2(a57, a13)	1
p7(X0)	p7(a0)	1
p2(X9, X8)	p2(a38, a89)	1
p1(X2, X0)	p1(a84, a0)	1
p2(X0, X1)	p2(a13, a0)	1
p8(X0, X9, X1, a39)	p8(a17, a0, a93, a39)	1
p2(X0, X1)	p2(a13, a39)	1
p7(a0)	p7(X5) :- p0(X5), p7(X5)	1
p4(X3, X0)	p4(a14, a4)	1
p5(X0, X5)	p5(a11, a14)	1
p7(X2)	p7(a83)	1
p3(X3, X2, X0, X1, X4)	p3(a46, a17, a47, a94, a16)	1
p0(X4)	p0(a97)	1
p6(a15, X0)	p6(a15, a44)	1
p3(X0, X1, X2, X3, X4)	p3(a24, a90, a44, a56, a84)	1
p5(X1, X0)	p5(a3, a22)	1
p1(a15, X0)	p1(a15, a23)	1
p4(X5, X4)	p4(a23, a12)	1
p6(X0, X1)	p6(a0, a60)	1
p0(X3)	p0(a30)	1
p0(X4)	p0(a10)	1
p4(X0, a15)	p4(a0, a15)	1
p4(X0, X4)	p4(a75, a12)	1
p2(X9, X8)	p2(a17, a58)	1
p8(X0, X1, X2, a39)	p8(a93, a26, a21, a39)	1
p3(X9, X3, X0, X1, X2)	p3(a4, a25, a54, a15, a32)	1
p4(X0, X1)	p4(a34, a82)	1
p5(a10, X6)	p5(a10, a1)	1
p1(X5, X0)	p1(a9, a12)	1
p5(X0, X1)	p5(a21, a36)	1
p4(a90, X0)	p4(X1, X1) :- p7(X1)	1
p9(X7)	p9(a16)	1
p4(X0, a57)	p4(X1, X1) :- p7(X1)	1
p0(a73)	p0(a73)	1
p3(X4, X6, X0, X1, X2)	p3(a10, a94, a11, a14, a95)	1
p4(X0, a99)	p4(X1, X1) :- p7(X1)	1
p4(X0, a22)	p4(X1, X1) :- p7(X1)	1
p1(X5, X0)	p1(a33, a15)	1
p5(X0, a92)	p5(a19, a92)	1
p5(X0, X5)	p5(a22, a7)	1
p6(X1, X0)	p6(a10, a13)	1
p9(X8)	p9(a28)	1
p9(X7)	p9(a42)	1
p4(X0, X4)	p4(a17, a99)	1
p4(a82, a82)	p4(X1, X1) :- p7(X1)	1
p2(X0, X1)	p2(a15, a52)	1
p3(X9, X3, X0, X1, X2)	p3(a33, a26, a60, a0, a45)	1
p3(X4, X6, X0, X1, X2)	p3(a57, a0, a10, a10, a8)	1
p0(X9)	p0(a34)	1
p7(a30)	p7(a30)	1
p7(X5)	p7(a13)	1
p9(X1)	p9(a84)	1
p4(X0, a12)	p4(X1, X1) :- p7(X1)	1
p2(X4, X1)	p2(a30, a23)	1
p7(a3)	p7(a3)	1
p3(X9, X4, X0, X1, X2)	p3(a20, a38, a28, a74, a59)	1
p4(a1, a14)	p4(a1, a14)	1
p0(X5)	p0(a93)	1
p5(X0, a2)	p5(a93, a2)	1
p6(a12, X0)	p6(a12, a15)	1
p7(a27)	p7(a27)	1
p9(X1)	p9(a18)	1
p4(a24, a24)	p4(X1, X1) :- p7(X1)	1
p3(X5, X1, X0, X2, X3)	p3(a50, a77, a30, a51, a51)	1
p4(a37, X0)	p4(a37, a99)	1
p4(a98, a98)	p4(X1, X1) :- p7(X1)	1
p4(a1, X0)	p4(a1, a14)	1
p5(a53, a26)	p5(X2, a26) :- p7(X2), p0(X2)	1
p4(X0, a10)	p4(a62, X2) :- p6(X2, X3)	1
p6(X0, X1)	p6(a27, a12)	1
p6(X0, X1)	p6(a77, a12)	1
p3(a0, X9, X0, X1, X2)	p3(a0, a40, a23, a29, a48)	1
p4(X2, X0)	p4(a29, a33)	1
p4(X0, X5)	p4(a19, a16)	1
p0(X6)	p0(X2) :- p5(a10, X2)	1
p4(X5, X0)	p4(a9, a49)	1
p4(a74, X0)	p4(X1, X1) :- p7(X1)	1
p3(X5, X6, X0, X1, X2)	p3(a18, a4, a22, a1, a93)	1
p0(X4)	p0(a75)	1
p4(a83, a83)	p4(X1, X1) :- p7(X1)	1
p9(X7)	p9(a11)	1
p4(X0, a12)	p4(a62, X2) :- p6(X2, X3)	1
p4(X3, X0)	p4(a48, a25)	1
p3(a46, X0, X1, X2, X3)	p3(a46, a17, a47, a94, a16)	1
p0(X1)	p0(a75)	1
p4(X2, X5)	p4(a48, a25)	1
p3(X3, X2, X0, X1, X4)	p3(a55, a17, a28, a4, a60)	1
p5(X1, X0)	p5(a33, a0)	1
p0(X3)	p0(a9)	1
p4(X0, X4)	p4(a19, a81)	1
p4(X6, X4)	p4(a37, a99)	1
p4(a59, X0)	p4(X1, X1) :- p7(X1)	1
p5(X0, X5)	p5(a1, a62)	1
